Phase,Metric,Epoch,Value
train,Loss,0,1.266564435902096
train,Loss,1,0.9982107359738577
train,Loss,2,0.8225594957669576
train,Loss,3,0.6752471845774424
train,Loss,4,0.551065922847816
train,Loss,5,0.463429967207568
train,Loss,6,0.3900048094136374
train,Loss,7,0.33483142263832544
train,Loss,8,0.2962212381618364
train,Loss,9,0.25889396632001516
train,Loss,10,0.23870304049480529
train,Loss,11,0.21296607330441475
train,Loss,12,0.1962438646171774
train,Loss,13,0.18338684986035028
train,Loss,14,0.1624212378547305
train,Loss,15,0.14545225192393577
train,Loss,16,0.14611879301567873
train,Loss,17,0.1359577646390313
train,Loss,18,0.13372806708017984
train,Loss,19,0.1209248501275267
train,Loss,20,0.11930818030876773
train,Loss,21,0.11367600331349033
train,Loss,22,0.11014214273364771
train,Loss,23,0.11192649802459138
train,Loss,24,0.11163434820870559
train,Loss,25,0.10304952217709451
train,Loss,26,0.08878011664464361
train,Loss,27,0.09463407179074627
train,Loss,28,0.09542013571730681
train,Loss,29,0.093258122248309
train,Loss,30,0.08998702785798482
train,Loss,31,0.0911509148510439
train,Loss,32,0.08387928558070035
train,Loss,33,0.08205008537818988
train,Loss,34,0.08549096342176199
train,Loss,35,0.08309593863253083
train,Loss,36,0.0789596801623702
train,Loss,37,0.07207432242908648
train,Loss,38,0.07106005132109636
train,Loss,39,0.07712039650817003
train,Loss,40,0.06946374697699434
train,Loss,41,0.0741627263348727
train,Loss,42,0.06968454240510862
train,Loss,43,0.07954900800472214
train,Loss,44,0.07858940994455701
train,Loss,45,0.07004249062655228
train,Loss,46,0.07052503022853107
train,Loss,47,0.06690741450126682
train,Loss,48,0.06510735198944098
train,Loss,49,0.0616835482152445
train,Loss,50,0.07148358385477747
train,Loss,51,0.06024719916638874
train,Loss,52,0.05251830920488352
train,Loss,53,0.059168260921502396
train,Loss,54,0.0662169672681817
train,Loss,55,0.057367076786855854
train,Loss,56,0.06381437209035669
train,Loss,57,0.05574765943345569
train,Loss,58,0.055751927729163854
train,Loss,59,0.06195180348697163
train,Loss,60,0.05672853375740704
train,Loss,61,0.06080261358459081
train,Loss,62,0.05714247163961686
train,Loss,63,0.05898867775907829
train,Loss,64,0.05809194789755912
train,Loss,65,0.0551727328981672
train,Loss,66,0.060984922850149725
train,Loss,67,0.05210939023111548
train,Loss,68,0.057448528573981354
train,Loss,69,0.057007560916688474
train,Loss,70,0.05167978896670753
train,Loss,71,0.0543823730577493
train,Loss,72,0.04713607272354975
train,Loss,73,0.054297777048001684
train,Loss,74,0.044945852853180396
train,Loss,75,0.04972731072588691
train,Loss,76,0.05032376530358479
train,Loss,77,0.05440724906068118
train,Loss,78,0.04653967258387378
train,Loss,79,0.054845850105353054
train,Loss,80,0.05402324090356983
train,Loss,81,0.052093318718973367
train,Loss,82,0.0503927605293159
train,Loss,83,0.04302651282133801
train,Loss,84,0.05251977669208178
train,Loss,85,0.052085456682280415
train,Loss,86,0.04819132618251301
train,Loss,87,0.05054103776014277
train,Loss,88,0.05265192500138212
train,Loss,89,0.045948090087178914
train,Loss,90,0.05359992055067172
train,Loss,91,0.045131505478084796
train,Loss,92,0.045749027359609805
train,Loss,93,0.04071923844250185
train,Loss,94,0.04513535993395462
train,Loss,95,0.03988450627020072
train,Loss,96,0.04698063795720892
train,Loss,97,0.042836961785464416
train,Loss,98,0.04750202119439131
train,Loss,99,0.046609163705614354
train,Dice,0,0.2211977323251111
train,Dice,1,0.3156856183140051
train,Dice,2,0.36773910302491414
train,Dice,3,0.6076357059535527
train,Dice,4,0.7618667401728176
train,Dice,5,0.7790592092843283
train,Dice,6,0.7800801509902591
train,Dice,7,0.7812855541706085
train,Dice,8,0.7836668285585585
train,Dice,9,0.8027669624203727
train,Dice,10,0.8040446206217721
train,Dice,11,0.8189552397955031
train,Dice,12,0.8309863564513978
train,Dice,13,0.8370302617549896
train,Dice,14,0.8532433637550899
train,Dice,15,0.8737419850769497
train,Dice,16,0.8655416014648619
train,Dice,17,0.8751839661882037
train,Dice,18,0.8738773514827093
train,Dice,19,0.884403279139882
train,Dice,20,0.8783877853836332
train,Dice,21,0.888301595335915
train,Dice,22,0.8802325463011151
train,Dice,23,0.8816494579826083
train,Dice,24,0.8811845261426199
