Phase,Metric,Epoch,Value
train,Loss,0,0.8579014106875374
train,Loss,1,0.63743666382063
train,Loss,2,0.5084557362965175
train,Loss,3,0.41858517555963426
train,Loss,4,0.3463232208575521
train,Loss,5,0.29228641234693076
train,Loss,6,0.25194292054289863
train,Loss,7,0.2207557519986516
train,Loss,8,0.1938988385455949
train,Loss,9,0.172916786833888
train,Loss,10,0.15606408938765526
train,Loss,11,0.14064971605936685
train,Loss,12,0.12766420371120885
train,Loss,13,0.11591890605077856
train,Loss,14,0.10492972834479242
train,Loss,15,0.09598110882299286
train,Loss,16,0.08795971937832378
train,Loss,17,0.08180193061984721
train,Loss,18,0.07551194603244464
train,Loss,19,0.07061718967521474
train,Loss,20,0.06618272402279433
train,Loss,21,0.06252003048679658
train,Loss,22,0.05838131257111118
train,Loss,23,0.054136073793328944
train,Loss,24,0.050712495643113344
train,Loss,25,0.047904321569062415
train,Loss,26,0.04532496706538257
train,Loss,27,0.04308256617791596
train,Loss,28,0.04148135757783339
train,Loss,29,0.03845731749953259
train,Loss,30,0.036381838466262535
train,Loss,31,0.035272436238647925
train,Loss,32,0.03310504766358506
train,Loss,33,0.03122079414537265
train,Loss,34,0.030393351512473254
train,Loss,35,0.029691310466400216
train,Loss,36,0.028003387707507328
train,Loss,37,0.026804456786651696
train,Loss,38,0.025185623427941686
train,Loss,39,0.024273915948080167
train,Loss,40,0.023910462412805783
train,Loss,41,0.022195037598499938
train,Loss,42,0.020955202214065053
train,Loss,43,0.020225292836715068
train,Loss,44,0.01952864114372503
train,Loss,45,0.018816455644333645
train,Loss,46,0.01797363451415939
train,Loss,47,0.01725457037710363
train,Loss,48,0.016595243686987532
train,Loss,49,0.016269418721397717
train,Loss,50,0.0157454267388121
train,Loss,51,0.015032654240106543
train,Loss,52,0.014480756617905129
train,Loss,53,0.013936422665470414
train,Loss,54,0.013735508407643508
train,Loss,55,0.013363633338095886
train,Loss,56,0.012780451359936879
train,Loss,57,0.01319566291446487
train,Loss,58,0.012185355692747094
train,Loss,59,0.012872852628961914
train,Loss,60,0.017663334318924518
train,Loss,61,0.012397880893244985
train,Loss,62,0.012081282213330269
train,Loss,63,0.01074776440925364
train,Loss,64,0.010327440581195765
train,Loss,65,0.009899793846887491
train,Loss,66,0.00985717372081819
train,Loss,67,0.009501788044525753
train,Loss,68,0.009017440867388532
train,Loss,69,0.008743479792472152
train,Loss,70,0.00873040925112686
train,Loss,71,0.008992082705455167
train,Loss,72,0.008470758745845939
train,Loss,73,0.00798409012523258
train,Loss,74,0.007939244168699674
train,Loss,75,0.00788728209833304
train,Loss,76,0.007590717026254251
train,Loss,77,0.007519564480476436
train,Loss,78,0.0072958665800147825
train,Loss,79,0.007285616080653632
train,Loss,80,0.0070663640785607554
train,Loss,81,0.00680877532189091
train,Loss,82,0.006819422852935358
train,Loss,83,0.006727445732048224
train,Loss,84,0.00646862229664943
train,Loss,85,0.006252822529945877
train,Loss,86,0.0064089742954820395
train,Loss,87,0.006236017518122459
train,Loss,88,0.006063517914818866
train,Loss,89,0.006268703384280559
train,Loss,90,0.0061283289327374885
train,Loss,91,0.005615743966440537
train,Loss,92,0.0054593612245904906
train,Loss,93,0.005425388525639262
train,Loss,94,0.005320934113115072
train,Loss,95,0.005113753966898436
train,Loss,96,0.00485851074613276
train,Loss,97,0.004783550554531671
train,Loss,98,0.0048709303262599165
train,Loss,99,0.005019402918627574
train,Dice,0,0.5740525676381021
train,Dice,1,0.8212847695464179
train,Dice,2,0.7973707893065044
train,Dice,3,0.7682229081789652
train,Dice,4,0.777343885529609
train,Dice,5,0.8036989207778659
train,Dice,6,0.8289088401056471
train,Dice,7,0.8504603015525001
train,Dice,8,0.865710471357618
train,Dice,9,0.8808747593845639
train,Dice,10,0.8986897695632208
train,Dice,11,0.9150546342134476
train,Dice,12,0.9292113362323671
train,Dice,13,0.9402352465050561
train,Dice,14,0.9461059172948202
train,Dice,15,0.9544009573402858
train,Dice,16,0.9545640299717585
train,Dice,17,0.9587413725398836
train,Dice,18,0.9604986473208382
train,Dice,19,0.9590418757427306
train,Dice,20,0.9631480397213072
train,Dice,21,0.9656923001720792
train,Dice,22,0.9648171982594899
train,Dice,23,0.96743310491244
train,Dice,24,0.96851727721237
train,Dice,25,0.9706323742866516
train,Dice,26,0.9711206200576964
train,Dice,27,0.9730997128146035
train,Dice,28,0.9722101063955397
train,Dice,29,0.9734933191821689
train,Dice,30,0.975109067701158
train,Dice,31,0.9758778661489487
train,Dice,32,0.976814288468588
train,Dice,33,0.9778953237192971
train,Dice,34,0.978653630330449
train,Dice,35,0.9751223971446356
train,Dice,36,0.9778846509399868
train,Dice,37,0.9794860844101224
train,Dice,38,0.9804854414292744
train,Dice,39,0.980466441029594
train,Dice,40,0.9793614560649508
train,Dice,41,0.9828349862779889
train,Dice,42,0.9828429094382695
train,Dice,43,0.983792401495434
train,Dice,44,0.9834626969837007
train,Dice,45,0.9843817083608537
train,Dice,46,0.9848041087388992
train,Dice,47,0.985430841644605
train,Dice,48,0.9859920427912757
train,Dice,49,0.9846667143560591
train,Dice,50,0.9863356181553432
train,Dice,51,0.9864996309791293
train,Dice,52,0.9869692985500608
train,Dice,53,0.987560069986752
train,Dice,54,0.9865619497639793
train,Dice,55,0.9872212970540637
train,Dice,56,0.984658746492295
train,Dice,57,0.9866159558296204
train,Dice,58,0.9877382353657768
train,Dice,59,0.9864924557152248
train,Dice,60,0.9762213336569923
train,Dice,61,0.9863551734458833
train,Dice,62,0.9860287372555051
train,Dice,63,0.9886544197797775
train,Dice,64,0.9890546458108085
train,Dice,65,0.9889811007749467
train,Dice,66,0.9885708881275994
train,Dice,67,0.9890354048638117
train,Dice,68,0.9900172863687787
train,Dice,69,0.9897253548815137
train,Dice,70,0.9904920167866207
train,Dice,71,0.9891485770543417
train,Dice,72,0.9901352318979445
train,Dice,73,0.9908570547898611
train,Dice,74,0.9907642610016323
train,Dice,75,0.9904847329571134
train,Dice,76,0.9907238696302686
train,Dice,77,0.9907992311886379
train,Dice,78,0.9909882786728087
train,Dice,79,0.990999908674331
train,Dice,80,0.9912070454586119
train,Dice,81,0.9916036292200997
train,Dice,82,0.9913970189435142
train,Dice,83,0.9914101809263229
train,Dice,84,0.9914305203017735
train,Dice,85,0.9918735296953292
train,Dice,86,0.9913231240851539
train,Dice,87,0.9911803695417586
train,Dice,88,0.9919241461015883
train,Dice,89,0.9911089220217296
train,Dice,90,0.9917862961689631
train,Dice,91,0.9927510008925483
train,Dice,92,0.9927087511335101
train,Dice,93,0.9924031325748989
train,Dice,94,0.9926471972749347
train,Dice,95,0.992913489540418
train,Dice,96,0.9932817490327925
train,Dice,97,0.9931300637267885
train,Dice,98,0.9929864456256231
train,Dice,99,0.9930458835193089
train,Jaccard,0,0.5424317160532588
train,Jaccard,1,0.7872477209284192
train,Jaccard,2,0.7729471354257493
train,Jaccard,3,0.7545437656697773
train,Jaccard,4,0.759888232463882
train,Jaccard,5,0.7770254938375383
train,Jaccard,6,0.7958783954381943
train,Jaccard,7,0.8125768772193364
train,Jaccard,8,0.8263502348036993
train,Jaccard,9,0.8397829085588455
train,Jaccard,10,0.8569873457863217
train,Jaccard,11,0.875705958831878
train,Jaccard,12,0.8924141873915991
train,Jaccard,13,0.9051294944116047
train,Jaccard,14,0.9142659271047229
train,Jaccard,15,0.9246607160284406
train,Jaccard,16,0.9254301318100521
train,Jaccard,17,0.93023201468445
train,Jaccard,18,0.9332939904360544
train,Jaccard,19,0.9322989192746934
train,Jaccard,20,0.9364223040285564
train,Jaccard,21,0.9403375067881176
train,Jaccard,22,0.9394297947486242
train,Jaccard,23,0.9434796784605298
train,Jaccard,24,0.9449803055751891
train,Jaccard,25,0.9481766834145501
train,Jaccard,26,0.948745227995373
train,Jaccard,27,0.9516672641038895
train,Jaccard,28,0.9502824339128676
train,Jaccard,29,0.9526058577355885
train,Jaccard,30,0.9552950958410898
train,Jaccard,31,0.9562378461871829
train,Jaccard,32,0.9578797973337627
train,Jaccard,33,0.9596695708377021
train,Jaccard,34,0.9608430635361445
train,Jaccard,35,0.9557302019425801
train,Jaccard,36,0.960063615725154
train,Jaccard,37,0.9622517334563392
train,Jaccard,38,0.9640494755336216
train,Jaccard,39,0.9641107519467672
train,Jaccard,40,0.9623444137119112
train,Jaccard,41,0.9679304503259205
train,Jaccard,42,0.9681236062731061
train,Jaccard,43,0.9696684827407202
train,Jaccard,44,0.9692107055868421
train,Jaccard,45,0.9707373629013697
train,Jaccard,46,0.9715245749269213
train,Jaccard,47,0.9726266612609228
train,Jaccard,48,0.9735385214998609
train,Jaccard,49,0.9715287316413153
train,Jaccard,50,0.9741853262696948
train,Jaccard,51,0.9744947034688223
train,Jaccard,52,0.9753222706772032
train,Jaccard,53,0.9763368502968833
train,Jaccard,54,0.9746975983892169
train,Jaccard,55,0.9757824419509797
train,Jaccard,56,0.9736547966798147
train,Jaccard,57,0.9747131949379331
train,Jaccard,58,0.976714721747807
train,Jaccard,59,0.9745364160764785
train,Jaccard,60,0.9578255890380769
train,Jaccard,61,0.9742307712634405
train,Jaccard,62,0.9738039140190397
train,Jaccard,63,0.978411669532458
train,Jaccard,64,0.9790881581249691
train,Jaccard,65,0.979082873179799
train,Jaccard,66,0.9785753034410023
train,Jaccard,67,0.9792132533731914
train,Jaccard,68,0.9809266534589586
train,Jaccard,69,0.9804505351043883
train,Jaccard,70,0.9817419236614591
train,Jaccard,71,0.979447195927302
train,Jaccard,72,0.9811117649078369
train,Jaccard,73,0.9824424286683401
train,Jaccard,74,0.982266060653187
train,Jaccard,75,0.981732516061692
train,Jaccard,76,0.9821997483571371
train,Jaccard,77,0.9823135201420102
train,Jaccard,78,0.9826841297603789
train,Jaccard,79,0.9826931570257459
train,Jaccard,80,0.9831048612083707
train,Jaccard,81,0.9838185083298456
train,Jaccard,82,0.9834381412892115
train,Jaccard,83,0.9834349155426025
train,Jaccard,84,0.9835340025879088
train,Jaccard,85,0.9843639504341852
train,Jaccard,86,0.9833677077577228
train,Jaccard,87,0.9831999809969039
train,Jaccard,88,0.9844115404855638
train,Jaccard,89,0.9829691236927396
train,Jaccard,90,0.9841730764933995
