Phase,Metric,Epoch,Value
train,Loss,0,1.1673352789311182
train,Loss,1,0.9154966253609884
train,Loss,2,0.7625162502129873
train,Loss,3,0.6255311781451816
train,Loss,4,0.518585357992422
train,Loss,5,0.4366188492803347
train,Loss,6,0.37090441761981874
train,Loss,7,0.31898287861120134
train,Loss,8,0.2778955815093858
train,Loss,9,0.24508477374911308
train,Loss,10,0.21696742162818
train,Loss,11,0.19400657961765924
train,Loss,12,0.1746841154637791
train,Loss,13,0.15860631529773986
train,Loss,14,0.14448264037214575
train,Loss,15,0.1320534980013257
train,Loss,16,0.12094381327430408
train,Loss,17,0.11114098096177691
train,Loss,18,0.10280850290187768
train,Loss,19,0.09466806488732497
train,Loss,20,0.08711569632093112
train,Loss,21,0.08110045863404161
train,Loss,22,0.07641876417966116
train,Loss,23,0.07079244201027211
train,Loss,24,0.06560928055218287
train,Loss,25,0.061689223074132486
train,Loss,26,0.05767410195299557
train,Loss,27,0.05464207088308675
train,Loss,28,0.051217760890722275
train,Loss,29,0.0486931103680815
train,Loss,30,0.046100747328074204
train,Loss,31,0.043141833772616725
train,Loss,32,0.04172166288342504
train,Loss,33,0.03926963254898077
train,Loss,34,0.03682965607870193
train,Loss,35,0.035356493932860236
train,Loss,36,0.033309289298596834
train,Loss,37,0.03175583481788635
train,Loss,38,0.030564279938560156
train,Loss,39,0.0284744947483497
train,Loss,40,0.02748664195782372
train,Loss,41,0.026664600818462315
train,Loss,42,0.025890387195561613
train,Loss,43,0.024264643079645577
train,Loss,44,0.02280044553446628
train,Loss,45,0.02237941005400249
train,Loss,46,0.021174094307103326
train,Loss,47,0.02007043857260474
train,Loss,48,0.01930189516306633
train,Loss,49,0.018897881143770758
train,Loss,50,0.018400676348911866
train,Loss,51,0.018995581682594048
train,Loss,52,0.017961306852244195
train,Loss,53,0.01648658237952207
train,Loss,54,0.015831687532010533
train,Loss,55,0.015366513104665847
train,Loss,56,0.014691502277162812
train,Loss,57,0.014208152890205383
train,Loss,58,0.013637070111664278
train,Loss,59,0.013207675611955069
train,Loss,60,0.013321452474753772
train,Loss,61,0.012426545521953986
train,Loss,62,0.01238811374198468
train,Loss,63,0.01196283623687036
train,Loss,64,0.011579642238627588
train,Loss,65,0.01125734459076609
train,Loss,66,0.011003244141604574
train,Loss,67,0.010465080572646997
train,Loss,68,0.010415289556563255
train,Loss,69,0.010656808647105382
train,Loss,70,0.009897874180404912
train,Loss,71,0.009501982519092659
train,Loss,72,0.009499972048659055
train,Loss,73,0.009166360472417659
train,Loss,74,0.00890692401610847
train,Loss,75,0.00873516529377195
train,Loss,76,0.008369152423083073
train,Loss,77,0.008401431725360453
train,Loss,78,0.008357432510127268
train,Loss,79,0.008225615014366451
train,Loss,80,0.007896324445027858
train,Loss,81,0.007689585964683266
train,Loss,82,0.00754012346511618
train,Loss,83,0.007509784457007689
train,Loss,84,0.007555477542891389
train,Loss,85,0.007910103196211691
train,Loss,86,0.008002734476966518
train,Loss,87,0.007051760663411447
train,Loss,88,0.00668793780052857
train,Loss,89,0.006533669249620289
train,Loss,90,0.006451172842865898
train,Loss,91,0.006702717510052025
train,Loss,92,0.006527929189836695
train,Loss,93,0.006154287149131831
train,Loss,94,0.006061075596205358
train,Loss,95,0.005924133969182592
train,Loss,96,0.005684375106024423
train,Loss,97,0.005924495225328775
train,Loss,98,0.005668770039587149
train,Loss,99,0.005393150373406354
train,Dice,0,0.2856623349445207
train,Dice,1,0.38633656643685843
train,Dice,2,0.41879102268389296
train,Dice,3,0.7204628572577522
train,Dice,4,0.8624582517714727
train,Dice,5,0.8733764673982348
train,Dice,6,0.8671194400106158
train,Dice,7,0.8704592706192107
train,Dice,8,0.8830461218243554
train,Dice,9,0.8900979721830005
train,Dice,10,0.9032143836929685
train,Dice,11,0.9056691506079265
train,Dice,12,0.9163212563310351
train,Dice,13,0.9253049116759073
train,Dice,14,0.9340576912675586
train,Dice,15,0.9385340845301038
train,Dice,16,0.9455913227228891
train,Dice,17,0.9505402623187929
train,Dice,18,0.955235169047401
train,Dice,19,0.9573280314604441
train,Dice,20,0.9576545854409536
train,Dice,21,0.9625655497823443
