Phase,Metric,Epoch,Value
train,Loss,0,1.2085273606436593
train,Loss,1,0.9601336227996009
train,Loss,2,0.801683960216386
train,Loss,3,0.6781080996706372
train,Loss,4,0.5776157932622092
train,Loss,5,0.4954296797513962
train,Loss,6,0.4250386453100613
train,Loss,7,0.3725273513368198
train,Loss,8,0.3242739559639068
train,Loss,9,0.2872246832010292
train,Loss,10,0.2568094810204847
train,Loss,11,0.23866894663799376
train,Loss,12,0.21704470827465966
train,Loss,13,0.20405628124163264
train,Loss,14,0.18771710566111974
train,Loss,15,0.17635277339390346
train,Loss,16,0.16651296118895212
train,Loss,17,0.1534561441235599
train,Loss,18,0.14903742917591617
train,Loss,19,0.1349422305467583
train,Loss,20,0.13454581362505755
train,Loss,21,0.1269805347990422
train,Loss,22,0.1179860175720283
train,Loss,23,0.11990793226730256
train,Loss,24,0.11456457844802312
train,Loss,25,0.10282949557793993
train,Loss,26,0.10936113127640315
train,Loss,27,0.10343631680700041
train,Loss,28,0.09683856101972717
train,Loss,29,0.09700048510872182
train,Loss,30,0.09576355129302967
train,Loss,31,0.09440088884106704
train,Loss,32,0.09186433938642342
train,Loss,33,0.09638282838499262
train,Loss,34,0.07972494481752317
train,Loss,35,0.08722777691270624
train,Loss,36,0.0815753239162621
train,Loss,37,
train,Loss,38,
train,Loss,39,
train,Loss,40,
train,Loss,41,
train,Loss,42,
train,Loss,43,
train,Loss,44,
train,Loss,45,
train,Loss,46,
train,Loss,47,
train,Loss,48,
train,Loss,49,
train,Loss,50,
train,Loss,51,
train,Loss,52,
train,Loss,53,
train,Loss,54,
train,Loss,55,
train,Loss,56,
train,Loss,57,
train,Loss,58,
train,Loss,59,
train,Loss,60,
train,Loss,61,
train,Loss,62,
train,Loss,63,
train,Loss,64,
train,Loss,65,
train,Loss,66,
train,Loss,67,
train,Loss,68,
train,Loss,69,
train,Loss,70,
train,Loss,71,
train,Loss,72,
train,Loss,73,
train,Loss,74,
train,Loss,75,
train,Loss,76,
train,Loss,77,
train,Loss,78,
train,Loss,79,
train,Loss,80,
train,Loss,81,
train,Loss,82,
train,Loss,83,
train,Loss,84,
train,Loss,85,
train,Loss,86,
train,Loss,87,
train,Loss,88,
train,Loss,89,
train,Loss,90,
train,Loss,91,
train,Loss,92,
train,Loss,93,
train,Loss,94,
train,Loss,95,
train,Loss,96,
train,Loss,97,
train,Loss,98,
train,Loss,99,
train,Dice,0,0.2366716790766943
train,Dice,1,0.3094026041882379
train,Dice,2,0.3783084060109797
train,Dice,3,0.6381544783001855
train,Dice,4,0.7577136613073803
train,Dice,5,0.7585505892833074
train,Dice,6,0.7571612844864527
train,Dice,7,0.7542875998076939
train,Dice,8,0.7489906897147497
train,Dice,9,0.7473270148038864
train,Dice,10,0.751047330952826
train,Dice,11,0.7471352098953157
train,Dice,12,0.7481299652939751
train,Dice,13,0.7487208800656455
train,Dice,14,0.7504471866857438
train,Dice,15,0.7609288096427917
train,Dice,16,0.7706285878306344
train,Dice,17,0.7910538046132951
train,Dice,18,0.7980016682829175
train,Dice,19,0.8170475938490459
train,Dice,20,0.8367781738440195
train,Dice,21,0.8397232485669
train,Dice,22,0.8493697771004268
train,Dice,23,0.8545615445999872
train,Dice,24,0.8623096510058358
train,Dice,25,0.8709422484749839
train,Dice,26,0.8654574624129704
train,Dice,27,0.8755060711077282
train,Dice,28,0.8819233583552497
train,Dice,29,0.8805265753042131
train,Dice,30,0.8703078592107409
train,Dice,31,0.8883167306582133
train,Dice,32,0.8846270683265868
train,Dice,33,0.8876307954390844
train,Dice,34,0.8916875038828168
train,Dice,35,0.8866016793818701
train,Dice,36,0.8934179317383539
train,Dice,37,0.8942344671203977
train,Dice,38,0.892184065920966
train,Dice,39,0.8946015217474529
train,Dice,40,0.8903441003390721
train,Dice,41,0.8388401752426511
train,Dice,42,0.7460841366222927
train,Dice,43,0.7460188156082517
train,Dice,44,0.7459711212487448
train,Dice,45,0.7461858356282824
train,Dice,46,0.7462116941100075
train,Dice,47,0.7491402803432374
train,Dice,48,0.7459666842506045
train,Dice,49,0.7461741708573841
train,Dice,50,0.745592250710442
train,Dice,51,0.7458932896455129
