Phase,Metric,Epoch,Value
train,Loss,0,0.6084838956594467
train,Loss,1,0.5635053068399429
train,Loss,2,0.5313859134912491
train,Loss,3,0.5067042112350464
train,Loss,4,0.4847755879163742
train,Loss,5,0.46709156036376953
train,Loss,6,0.45314348489046097
train,Loss,7,0.4398145377635956
train,Loss,8,0.43005263805389404
train,Loss,9,0.4186094030737877
train,Loss,10,0.407532274723053
train,Loss,11,0.39392250031232834
train,Loss,12,0.381411649286747
train,Loss,13,0.37115007638931274
train,Loss,14,0.3611469566822052
train,Loss,15,0.35142119973897934
train,Loss,16,0.34353816509246826
train,Loss,17,0.3349108099937439
train,Loss,18,0.32964523136615753
train,Loss,19,0.3232937455177307
train,Loss,20,0.3192605823278427
train,Loss,21,0.31360506266355515
train,Loss,22,0.3069433495402336
train,Loss,23,0.30148251354694366
train,Loss,24,0.29575061053037643
train,Loss,25,0.2911813110113144
train,Loss,26,0.28706517815589905
train,Loss,27,0.2813961058855057
train,Loss,28,0.27598489075899124
train,Loss,29,0.27289317548274994
train,Loss,30,0.2686266452074051
train,Loss,31,0.26486534625291824
train,Loss,32,0.26296962797641754
train,Loss,33,0.25904783606529236
train,Loss,34,0.2553880661725998
train,Loss,35,0.2514586038887501
train,Loss,36,0.24809708818793297
train,Loss,37,0.2455020472407341
train,Loss,38,0.24351588264107704
train,Loss,39,0.23886678367853165
train,Loss,40,0.2368154413998127
train,Loss,41,0.2330351397395134
train,Loss,42,0.22880837321281433
train,Loss,43,0.2280731163918972
train,Loss,44,0.2233201526105404
train,Loss,45,0.22200220450758934
train,Loss,46,0.2206110805273056
train,Loss,47,0.21762512251734734
train,Loss,48,0.2149081975221634
train,Loss,49,0.21102120727300644
train,Loss,50,0.20883916690945625
train,Loss,51,0.20938369259238243
train,Loss,52,0.2052008919417858
train,Loss,53,0.2018326334655285
train,Loss,54,0.20122261345386505
train,Loss,55,0.19941716641187668
train,Loss,56,0.19599169492721558
train,Loss,57,0.19228395819664001
train,Loss,58,0.19448883831501007
train,Loss,59,0.1871303841471672
train,Loss,60,0.1874610148370266
train,Loss,61,0.18724072352051735
train,Loss,62,0.18401513993740082
train,Loss,63,0.1829180084168911
train,Loss,64,0.18278895691037178
train,Loss,65,0.18062929436564445
train,Loss,66,0.17758780717849731
train,Loss,67,0.1738211326301098
train,Loss,68,0.1751127503812313
train,Loss,69,0.1746254377067089
train,Loss,70,0.17132963612675667
train,Loss,71,0.16881504282355309
train,Loss,72,0.1672200672328472
train,Loss,73,0.16546814888715744
train,Loss,74,0.16594160348176956
train,Loss,75,0.1620159149169922
train,Loss,76,0.15906525030732155
train,Loss,77,0.1591547578573227
train,Loss,78,0.15828458219766617
train,Loss,79,0.15717682614922523
train,Loss,80,0.15696609392762184
train,Loss,81,0.15510080382227898
train,Loss,82,0.15330934897065163
train,Loss,83,0.15173762291669846
train,Loss,84,0.15098147839307785
train,Loss,85,0.14714694395661354
train,Loss,86,0.1465468667447567
train,Loss,87,0.14723995327949524
train,Loss,88,0.14571015164256096
train,Loss,89,0.14396315440535545
train,Loss,90,0.14625276997685432
train,Loss,91,0.1419372260570526
train,Loss,92,0.14195279404520988
train,Loss,93,0.13886060938239098
train,Loss,94,0.1393759846687317
train,Loss,95,0.13922608643770218
train,Loss,96,0.1371823512017727
train,Loss,97,0.13601861894130707
train,Loss,98,0.13463882729411125
train,Loss,99,0.13653630018234253
train,Dice,0,0.4894379824399948
train,Dice,1,0.5097173526883125
train,Dice,2,0.5230545252561569
train,Dice,3,0.5320363193750381
train,Dice,4,0.5407741963863373
train,Dice,5,0.5412288010120392
train,Dice,6,0.5420352220535278
train,Dice,7,0.529476523399353
train,Dice,8,0.5278441458940506
train,Dice,9,0.5182123631238937
train,Dice,10,0.5128412991762161
train,Dice,11,0.5114336311817169
train,Dice,12,0.5080220252275467
train,Dice,13,0.5068937242031097
train,Dice,14,0.5047926008701324
train,Dice,15,0.5012887716293335
train,Dice,16,0.5007913783192635
train,Dice,17,0.4989848732948303
train,Dice,18,0.49869274348020554
train,Dice,19,0.4981422647833824
train,Dice,20,0.49800996482372284
train,Dice,21,0.4976096749305725
train,Dice,22,0.4977106899023056
train,Dice,23,0.49786626547574997
train,Dice,24,0.4979274794459343
train,Dice,25,0.49801354110240936
train,Dice,26,0.4977450668811798
train,Dice,27,0.4978056624531746
train,Dice,28,0.4979153424501419
train,Dice,29,0.49793190509080887
train,Dice,30,0.4976692795753479
train,Dice,31,0.49784696847200394
train,Dice,32,0.49758394807577133
train,Dice,33,0.49751394987106323
train,Dice,34,0.4978354275226593
train,Dice,35,0.49781182408332825
train,Dice,36,0.4978945180773735
train,Dice,37,0.497650608420372
train,Dice,38,0.4976596385240555
train,Dice,39,0.4978512302041054
train,Dice,40,0.49757126718759537
train,Dice,41,0.49766258895397186
train,Dice,42,0.49794770032167435
train,Dice,43,0.49775976687669754
train,Dice,44,0.49797604233026505
train,Dice,45,0.4977613091468811
train,Dice,46,0.4975729063153267
train,Dice,47,0.49767572432756424
train,Dice,48,0.4976199343800545
train,Dice,49,0.49778082221746445
train,Dice,50,0.4977509379386902
train,Dice,51,0.49752672016620636
train,Dice,52,0.49787846952676773
train,Dice,53,0.497750848531723
train,Dice,54,0.497628778219223
train,Dice,55,0.4976741075515747
train,Dice,56,0.49787140637636185
train,Dice,57,0.49800197035074234
train,Dice,58,0.49761824309825897
train,Dice,59,0.4981255307793617
train,Dice,60,0.4978492707014084
train,Dice,61,0.49776245653629303
train,Dice,62,0.497827485203743
train,Dice,63,0.49777407199144363
train,Dice,64,0.4976085126399994
train,Dice,65,0.4977230280637741
train,Dice,66,0.49763140827417374
train,Dice,67,0.4979432597756386
train,Dice,68,0.4975793808698654
train,Dice,69,0.4975091442465782
train,Dice,70,0.4976002871990204
train,Dice,71,0.497774600982666
train,Dice,72,0.49799807369709015
train,Dice,73,0.49796659499406815
train,Dice,74,0.49768565595149994
train,Dice,75,0.49782463163137436
train,Dice,76,0.49808571487665176
train,Dice,77,0.4978717416524887
train,Dice,78,0.4978376775979996
train,Dice,79,0.49778852611780167
train,Dice,80,0.49769381433725357
train,Dice,81,0.4976460114121437
train,Dice,82,0.4977223724126816
train,Dice,83,0.49789494276046753
train,Dice,84,0.49789372086524963
train,Dice,85,0.49814799427986145
train,Dice,86,0.4979681596159935
train,Dice,87,0.4978064075112343
train,Dice,88,0.4978364631533623
train,Dice,89,0.49788425117731094
train,Dice,90,0.49752411991357803
train,Dice,91,0.49796757847070694
train,Dice,92,0.4978698119521141
train,Dice,93,0.497980073094368
train,Dice,94,0.49778907746076584
train,Dice,95,0.4976324886083603
train,Dice,96,0.497775062918663
train,Dice,97,0.49774550646543503
train,Dice,98,0.4978959709405899
train,Dice,99,0.4974623769521713
train,Jaccard,0,0.4573548436164856
train,Jaccard,1,0.4806760549545288
train,Jaccard,2,0.4962635338306427
train,Jaccard,3,0.5052202045917511
train,Jaccard,4,0.5122262984514236
train,Jaccard,5,0.5142585635185242
train,Jaccard,6,0.5165584981441498
train,Jaccard,7,0.5105761289596558
train,Jaccard,8,0.51041279733181
train,Jaccard,9,0.5053018927574158
train,Jaccard,10,0.5026163458824158
train,Jaccard,11,0.5023269802331924
train,Jaccard,12,0.5008118078112602
train,Jaccard,13,0.5001068189740181
train,Jaccard,14,0.4990478828549385
train,Jaccard,15,0.49705804139375687
train,Jaccard,16,0.4970276951789856
train,Jaccard,17,0.496613472700119
train,Jaccard,18,0.4957996532320976
train,Jaccard,19,0.49586495012044907
train,Jaccard,20,0.4954194501042366
train,Jaccard,21,0.4952425956726074
train,Jaccard,22,0.49544286727905273
train,Jaccard,23,0.49575233459472656
train,Jaccard,24,0.49587345123291016
train,Jaccard,25,0.4960441589355469
train,Jaccard,26,0.4955105781555176
train,Jaccard,27,0.49563074111938477
train,Jaccard,28,0.4958481788635254
train,Jaccard,29,0.4958810806274414
train,Jaccard,30,0.4953603744506836
train,Jaccard,31,0.4957137107849121
train,Jaccard,32,0.4951920509338379
train,Jaccard,33,0.495053768157959
train,Jaccard,34,0.49569034576416016
train,Jaccard,35,0.49564313888549805
train,Jaccard,36,0.49580812454223633
train,Jaccard,37,0.49532365798950195
train,Jaccard,38,0.49534177780151367
