Phase,Metric,Epoch,Value
train,Loss,0,0.5222790688276291
train,Loss,1,0.49506405740976334
train,Loss,2,0.4762996509671211
train,Loss,3,0.4610537514090538
train,Loss,4,0.44617390632629395
train,Loss,5,0.4344148486852646
train,Loss,6,0.42124875634908676
train,Loss,7,0.41298213601112366
train,Loss,8,0.40436967462301254
train,Loss,9,0.39655204117298126
train,Loss,10,0.38774190098047256
train,Loss,11,0.3822399899363518
train,Loss,12,0.3759518787264824
train,Loss,13,0.369852714240551
train,Loss,14,0.3640863373875618
train,Loss,15,0.35869666934013367
train,Loss,16,0.35386721044778824
train,Loss,17,0.34770893305540085
train,Loss,18,0.3408009484410286
train,Loss,19,0.3369347155094147
train,Loss,20,0.3296692445874214
train,Loss,21,0.3272646740078926
train,Loss,22,0.32214631885290146
train,Loss,23,0.3177114427089691
train,Loss,24,0.3110208809375763
train,Loss,25,0.30918921530246735
train,Loss,26,0.3024657815694809
train,Loss,27,0.29891324043273926
train,Loss,28,0.2939804643392563
train,Loss,29,0.2904331311583519
train,Loss,30,0.2860119715332985
train,Loss,31,0.28159648180007935
train,Loss,32,0.27925676107406616
train,Loss,33,0.27618371695280075
train,Loss,34,0.2710163965821266
train,Loss,35,0.2669365555047989
train,Loss,36,0.2626076191663742
train,Loss,37,0.25908292829990387
train,Loss,38,0.25738944858312607
train,Loss,39,0.25251607969403267
train,Loss,40,0.2499539628624916
train,Loss,41,0.24567529559135437
train,Loss,42,0.2436646856367588
train,Loss,43,0.24268803745508194
train,Loss,44,0.23867636173963547
train,Loss,45,0.2375953309237957
train,Loss,46,0.23395417630672455
train,Loss,47,0.23021648824214935
train,Loss,48,0.22865713387727737
train,Loss,49,0.22688164189457893
train,Loss,50,0.22273306921124458
train,Loss,51,0.22271693870425224
train,Loss,52,0.22259385511279106
train,Loss,53,0.21983689069747925
train,Loss,54,0.2162814512848854
train,Loss,55,0.21462736651301384
train,Loss,56,0.21309006586670876
train,Loss,57,0.20970332249999046
train,Loss,58,0.20734600350260735
train,Loss,59,0.20678550750017166
train,Loss,60,0.2051457241177559
train,Loss,61,0.20196734368801117
train,Loss,62,0.1994110383093357
train,Loss,63,0.19975562021136284
train,Loss,64,0.1970098838210106
train,Loss,65,0.19582397490739822
train,Loss,66,0.1924215741455555
train,Loss,67,0.19191241264343262
train,Loss,68,0.19064252823591232
train,Loss,69,0.190017931163311
train,Loss,70,0.186550784856081
train,Loss,71,0.18752509355545044
train,Loss,72,0.18330902233719826
train,Loss,73,0.18447642773389816
train,Loss,74,0.1805007867515087
train,Loss,75,0.18251796066761017
train,Loss,76,0.17840438336133957
train,Loss,77,0.17850475013256073
train,Loss,78,0.17712196335196495
train,Loss,79,0.17588503286242485
train,Loss,80,0.17090074717998505
train,Loss,81,0.1728956736624241
train,Loss,82,0.16873027756810188
train,Loss,83,0.17119210958480835
train,Loss,84,0.1689264327287674
train,Loss,85,0.16589699313044548
train,Loss,86,0.16512411832809448
train,Loss,87,0.16369522735476494
train,Loss,88,0.16162144765257835
train,Loss,89,0.1592206135392189
train,Loss,90,0.16162770614027977
train,Loss,91,0.15982967615127563
train,Loss,92,0.15906042233109474
train,Loss,93,0.15675998851656914
train,Loss,94,0.15631119161844254
train,Loss,95,0.152894489467144
train,Loss,96,0.1517559550702572
train,Loss,97,0.1504831537604332
train,Loss,98,0.15155436843633652
train,Loss,99,0.15010416135191917
train,Dice,0,0.502710796892643
train,Dice,1,0.5210577249526978
train,Dice,2,0.5291950702667236
train,Dice,3,0.5287576913833618
train,Dice,4,0.5305080339312553
train,Dice,5,0.5299744755029678
train,Dice,6,0.5219403430819511
train,Dice,7,0.5070842206478119
train,Dice,8,0.4996330216526985
train,Dice,9,0.4975234493613243
train,Dice,10,0.49759694188833237
train,Dice,11,0.4972657263278961
train,Dice,12,0.4973081424832344
train,Dice,13,0.49694832414388657
train,Dice,14,0.497188538312912
train,Dice,15,0.497536338865757
train,Dice,16,0.4970470294356346
train,Dice,17,0.4982095882296562
train,Dice,18,0.499982625246048
train,Dice,19,0.5002651438117027
train,Dice,20,0.5011929869651794
train,Dice,21,0.5018109530210495
train,Dice,22,0.5016814023256302
train,Dice,23,0.5018575266003609
train,Dice,24,0.49829424172639847
train,Dice,25,0.4987995848059654
train,Dice,26,0.5001560598611832
train,Dice,27,0.5006752908229828
train,Dice,28,0.49793003499507904
train,Dice,29,0.5030524954199791
train,Dice,30,0.5016415789723396
train,Dice,31,0.502146303653717
train,Dice,32,0.5021736845374107
train,Dice,33,0.4988066926598549
train,Dice,34,0.49726804345846176
train,Dice,35,0.49768149107694626
train,Dice,36,0.497050903737545
train,Dice,37,0.49720998108386993
train,Dice,38,0.49672122299671173
train,Dice,39,0.4976695403456688
train,Dice,40,0.49708225578069687
train,Dice,41,0.49782080948352814
train,Dice,42,0.49734722822904587
train,Dice,43,0.4968626797199249
train,Dice,44,0.4970751777291298
train,Dice,45,0.49697345495224
train,Dice,46,0.4978208690881729
train,Dice,47,0.49810150265693665
train,Dice,48,0.4992091879248619
train,Dice,49,0.49978257715702057
train,Dice,50,0.5032653138041496
train,Dice,51,0.5022685900330544
train,Dice,52,0.5030081495642662
train,Dice,53,0.5093807950615883
train,Dice,54,0.5035269409418106
