Phase,Metric,Epoch,Value
train,Loss,0,0.9453305337164137
train,Loss,1,0.80564470688502
train,Loss,2,0.7284246895048353
train,Loss,3,0.6697572138574388
train,Loss,4,0.6195842968093024
train,Loss,5,0.5725502729415893
train,Loss,6,0.5276279932922787
train,Loss,7,0.4820504367351532
train,Loss,8,0.44030407865842186
train,Loss,9,0.4075018525123596
train,Loss,10,0.37979450821876526
train,Loss,11,0.3567780011230045
train,Loss,12,0.3339759389559428
train,Loss,13,0.31496999594900343
train,Loss,14,0.29690808852513634
train,Loss,15,0.28256254924668206
train,Loss,16,0.26864807307720184
train,Loss,17,0.2545786072810491
train,Loss,18,0.24351942704783547
train,Loss,19,0.23145195643107097
train,Loss,20,0.22273602022065056
train,Loss,21,0.21282079153590733
train,Loss,22,0.20400336682796477
train,Loss,23,0.19583718412452275
train,Loss,24,0.18771300348970626
train,Loss,25,0.1798819124698639
train,Loss,26,0.1749666002061632
train,Loss,27,0.1691625482506222
train,Loss,28,0.1628972480694453
train,Loss,29,0.15623287128077612
train,Loss,30,0.151921013991038
train,Loss,31,0.14600546509027482
train,Loss,32,0.14011975245343314
train,Loss,33,0.13414320250352224
train,Loss,34,0.13087834848297966
train,Loss,35,0.12532405803600946
train,Loss,36,0.1218502680460612
train,Loss,37,0.11849187248282962
train,Loss,38,0.11305469986465243
train,Loss,39,0.1099099521835645
train,Loss,40,0.10413802382018832
train,Loss,41,0.1004339478082127
train,Loss,42,0.09790181087123023
train,Loss,43,0.09705565472443899
train,Loss,44,0.09168369174003602
train,Loss,45,0.08790891865889232
train,Loss,46,0.08543157262934578
train,Loss,47,0.08144479079378976
train,Loss,48,0.08003804766469531
train,Loss,49,0.07732238935099708
train,Loss,50,0.0747284761733479
train,Loss,51,0.07128202186690437
train,Loss,52,0.06914078113105562
train,Loss,53,0.06591925124327341
train,Loss,54,0.06393649636043443
train,Loss,55,0.06218425432840983
train,Loss,56,0.06038309244645967
train,Loss,57,0.05812781271007326
train,Loss,58,0.05642751943733957
train,Loss,59,0.05455381754371855
train,Loss,60,0.0525996805065208
train,Loss,61,0.051290724260939495
train,Loss,62,0.05079096555709839
train,Loss,63,0.051216882467269895
train,Loss,64,0.04846658731500308
train,Loss,65,0.046491162644492254
train,Loss,66,0.044413302507665425
train,Loss,67,0.04260017507606083
train,Loss,68,0.04171351467569669
train,Loss,69,0.040641961991786955
train,Loss,70,0.03959420969088872
train,Loss,71,0.039051667352517444
train,Loss,72,0.03802060377266672
train,Loss,73,0.0373517365505298
train,Loss,74,0.036816358359323606
train,Loss,75,0.03570420290860865
train,Loss,76,0.0341530666169193
train,Loss,77,0.033203357458114625
train,Loss,78,0.03264263160526752
train,Loss,79,0.031807937348882355
train,Loss,80,0.03141024981935819
train,Loss,81,0.03036309430996577
train,Loss,82,0.029281582021050984
train,Loss,83,0.028496366946233642
train,Loss,84,0.02761324718594551
train,Loss,85,0.027158871044715246
train,Loss,86,0.0269302051100466
train,Loss,87,0.026541929526461495
train,Loss,88,0.026917239899436632
train,Loss,89,0.02635626018875175
train,Loss,90,0.025421681255102156
train,Loss,91,0.024107934244804913
train,Loss,92,0.02348838092552291
train,Loss,93,0.02285497449338436
train,Loss,94,0.022201229052411186
train,Loss,95,0.02139021158218384
train,Loss,96,0.02087818214462863
train,Loss,97,0.020516141421265073
train,Loss,98,0.020384555889500514
train,Loss,99,0.02023329929345184
train,Dice,0,0.3604360520839691
train,Dice,1,0.3584578447871738
train,Dice,2,0.6253001153469085
train,Dice,3,0.6475534399350484
train,Dice,4,0.6540399736828274
train,Dice,5,0.6958751347329881
train,Dice,6,0.7591948840353224
train,Dice,7,0.818310268719991
train,Dice,8,0.8526510874430339
train,Dice,9,0.8643577535947163
train,Dice,10,0.8752190974023607
train,Dice,11,0.8882990227805243
train,Dice,12,0.8975533313221402
train,Dice,13,0.9059066692988078
train,Dice,14,0.9130290852652656
train,Dice,15,0.9170708060264587
train,Dice,16,0.9212892479366727
train,Dice,17,0.9271146059036255
train,Dice,18,0.9295851098166572
train,Dice,19,0.9338482287194994
train,Dice,20,0.9353437436951532
train,Dice,21,0.9380679898791843
train,Dice,22,0.9407751229074266
train,Dice,23,0.9429593245188396
train,Dice,24,0.946066391468048
train,Dice,25,0.9477067881160313
train,Dice,26,0.946793774763743
train,Dice,27,0.9489915847778321
train,Dice,28,0.9500474254290263
train,Dice,29,0.9516090790430705
train,Dice,30,0.9518619709544711
train,Dice,31,0.9541577339172364
train,Dice,32,0.9561841501129998
train,Dice,33,0.9579652415381538
train,Dice,34,0.9579743027687073
train,Dice,35,0.9606714765230815
train,Dice,36,0.9607607669300503
train,Dice,37,0.9612955530484517
train,Dice,38,0.9631591704156663
train,Dice,39,0.9640443603197734
train,Dice,40,0.9668629209200541
train,Dice,41,0.9681332932578193
