Phase,Metric,Epoch,Value
train,Loss,0,0.9453210406833225
train,Loss,1,0.8056893719567193
train,Loss,2,0.7290247307883368
train,Loss,3,0.6712070173687406
train,Loss,4,0.6211412376827664
train,Loss,5,0.5727947791417439
train,Loss,6,0.5263316796885597
train,Loss,7,0.4776918788750966
train,Loss,8,0.43653902411460876
train,Loss,9,0.4063231428464254
train,Loss,10,0.3777108139461941
train,Loss,11,0.35545474621984696
train,Loss,12,0.33286599384413823
train,Loss,13,0.31362840003437464
train,Loss,14,0.2966476513279809
train,Loss,15,0.2818693419297536
train,Loss,16,0.2677146825525496
train,Loss,17,0.25425005985630883
train,Loss,18,0.24316811064879099
train,Loss,19,0.23277912106778886
train,Loss,20,0.2230155689848794
train,Loss,21,0.21322583191924624
train,Loss,22,0.2048993988169564
train,Loss,23,0.19599049753612943
train,Loss,24,0.18878488772445254
train,Loss,25,0.18193450073401132
train,Loss,26,0.1750502695639928
train,Loss,27,0.17013750274976094
train,Loss,28,0.16224366558922662
train,Loss,29,0.15637437999248505
train,Loss,30,0.15118295583460067
train,Loss,31,0.14554233633809618
train,Loss,32,0.140081158777078
train,Loss,33,0.1344092274705569
train,Loss,34,0.13127063396904204
train,Loss,35,0.12781840827729968
train,Loss,36,0.12218403120835622
train,Loss,37,0.1187755713860194
train,Loss,38,0.11460607780350579
train,Loss,39,0.11281462758779526
train,Loss,40,0.10640588419304954
train,Loss,41,0.10173547218243281
train,Loss,42,0.0980262718266911
train,Loss,43,0.09445511665609148
train,Loss,44,0.09153231349256304
train,Loss,45,0.08815816077921125
train,Loss,46,0.08597658856047524
train,Loss,47,0.08282595806651645
train,Loss,48,0.08123133877913156
train,Loss,49,0.07750633044375313
train,Loss,50,0.07508353690306345
train,Loss,51,0.07121996622946528
train,Loss,52,0.0684359394841724
train,Loss,53,0.0663596949643559
train,Loss,54,0.06419188239508206
train,Loss,55,0.06300865535934766
train,Loss,56,0.06298555748330223
train,Loss,57,0.060194511546028985
train,Loss,58,0.0571745273967584
train,Loss,59,0.05548300271232923
train,Loss,60,0.05388241675164965
train,Loss,61,0.05266928333375189
train,Loss,62,0.050853263917896484
train,Loss,63,0.04915945322977172
train,Loss,64,0.047290205541584224
train,Loss,65,0.04597505943642722
train,Loss,66,0.04473590925335884
train,Loss,67,0.04434814875324567
train,Loss,68,0.04450511833031972
train,Loss,69,0.04319595057103369
train,Loss,70,0.04132151264283392
train,Loss,71,0.04043331394592921
train,Loss,72,0.03920442230171627
train,Loss,73,0.037950569060113695
train,Loss,74,0.03631162246068319
train,Loss,75,0.03520386901994546
train,Loss,76,0.034941699397232795
train,Loss,77,0.03437794682880243
train,Loss,78,0.03348618182871077
train,Loss,79,0.03228681203391817
train,Loss,80,0.031574359329210384
train,Loss,81,0.03160158594449361
train,Loss,82,0.03097363938060072
train,Loss,83,0.02975324508216646
train,Loss,84,0.028971871236960094
train,Loss,85,0.028011488748921287
train,Loss,86,0.027778271378742322
train,Loss,87,0.02826564432018333
train,Loss,88,0.0271783451239268
train,Loss,89,0.026002960569328732
train,Loss,90,0.024851654263006315
train,Loss,91,0.02474467158317566
train,Loss,92,0.025299681060843997
train,Loss,93,0.024454583807124033
train,Loss,94,0.02347332557870282
train,Loss,95,0.022449011645383304
train,Loss,96,0.0217234983212418
train,Loss,97,0.02088918901152081
train,Loss,98,0.020669798056284588
train,Loss,99,0.020165079128411083
train,Dice,0,0.3604484942224291
train,Dice,1,0.36586227218310036
train,Dice,2,0.617892011668947
train,Dice,3,0.6475484530131023
train,Dice,4,0.6515014754401313
train,Dice,5,0.6925667073991564
train,Dice,6,0.7524308111932543
train,Dice,7,0.8229177633921305
train,Dice,8,0.8621308909522163
train,Dice,9,0.8707623018158807
train,Dice,10,0.8802388946215312
train,Dice,11,0.8857355237007141
train,Dice,12,0.8939088490274217
train,Dice,13,0.9027185493045383
train,Dice,14,0.908529810110728
train,Dice,15,0.9149281104405721
train,Dice,16,0.9198625140719944
train,Dice,17,0.9259279370307922
train,Dice,18,0.9285152713457744
train,Dice,19,0.9306176688936022
train,Dice,20,0.9338535123401218
train,Dice,21,0.9371801945898268
train,Dice,22,0.9388526148266263
train,Dice,23,0.9424030635091993
train,Dice,24,0.9445260180367364
train,Dice,25,0.9456648641162448
train,Dice,26,0.94631933371226
train,Dice,27,0.9477503551377191
train,Dice,28,0.9507013625568814
train,Dice,29,0.9519514905081855
train,Dice,30,0.9528400156233046
train,Dice,31,0.9545626786020067
train,Dice,32,0.9559449381298489
train,Dice,33,0.9577502065234714
train,Dice,34,0.9580663892957899
train,Dice,35,0.9587487538655599
train,Dice,36,0.960492651992374
train,Dice,37,0.9608063022295634
train,Dice,38,0.9620571904712253
train,Dice,39,0.9616979757944742
train,Dice,40,0.9648653189341228
train,Dice,41,0.966932761669159
train,Dice,42,0.9678677161534627
train,Dice,43,0.9690231217278374
train,Dice,44,0.9698372443517049
train,Dice,45,0.9706901748975117
train,Dice,46,0.9712087366316053
train,Dice,47,0.9720746861563788
train,Dice,48,0.9718683057361179
train,Dice,49,0.9737819963031344
train,Dice,50,0.9742596904436748
train,Dice,51,0.9761778434117635
train,Dice,52,0.9772297117445204
train,Dice,53,0.9778254177835253
train,Dice,54,0.9786399576399062
