Phase,Metric,Epoch,Value
train,Loss,0,0.9444593336847094
train,Loss,1,0.825096603234609
train,Loss,2,0.7519395881228976
train,Loss,3,0.6960993250211079
train,Loss,4,0.6499423291948107
train,Loss,5,0.609396223227183
train,Loss,6,0.5691872384813097
train,Loss,7,0.534383793009652
train,Loss,8,0.5071550534831153
train,Loss,9,0.48500303361150954
train,Loss,10,0.4698346628083123
train,Loss,11,0.45063564446237353
train,Loss,12,0.4393495327896542
train,Loss,13,0.42493144538667466
train,Loss,14,0.425868022441864
train,Loss,15,0.40977271927727593
train,Loss,16,0.4028690536816915
train,Loss,17,0.4038047585222456
train,Loss,18,0.38637407024701437
train,Loss,19,0.3814221852355533
train,Loss,20,0.3786667896641625
train,Loss,21,0.37044720318582325
train,Loss,22,0.367673530181249
train,Loss,23,0.3686650209956699
train,Loss,24,0.3631152205997043
train,Loss,25,0.3509899550014072
train,Loss,26,0.3575647705131107
train,Loss,27,0.3549652245309618
train,Loss,28,0.3417460832330916
train,Loss,29,0.34314510027567546
train,Loss,30,0.33299590084287856
train,Loss,31,0.33465562065442406
train,Loss,32,0.3393829147020976
train,Loss,33,0.33165198266506196
train,Loss,34,0.32879401908980477
train,Loss,35,0.32436800599098203
train,Loss,36,0.3272132237752279
train,Loss,37,0.3208243118392097
train,Loss,38,0.31387356917063397
train,Loss,39,0.31526225275463526
train,Loss,40,0.30773593187332154
train,Loss,41,0.3162492897775438
train,Loss,42,0.3082902944750256
train,Loss,43,0.3149659193224377
train,Loss,44,0.30279793838659924
train,Loss,45,0.30054619411627453
train,Loss,46,0.30117624236477747
train,Loss,47,0.29705144299401176
train,Loss,48,0.2989033894406425
train,Loss,49,0.2894666824075911
train,Loss,50,0.2933881746398078
train,Loss,51,0.2919287188185586
train,Loss,52,0.29226036767164865
train,Loss,53,0.2895804252889421
train,Loss,54,0.28563707172870634
train,Loss,55,0.28533791568544176
train,Loss,56,0.2812278939618005
train,Loss,57,0.2830315056774351
train,Loss,58,0.28507403201527065
train,Loss,59,0.2791133188539081
train,Loss,60,0.2768030885193083
train,Loss,61,0.27602854503525626
train,Loss,62,0.27573948933018577
train,Loss,63,0.27027956611580317
train,Loss,64,0.2757362998194165
train,Loss,65,0.2803986072540283
train,Loss,66,0.27873699996206497
train,Loss,67,0.2759400791592068
train,Loss,68,0.2636113574107488
train,Loss,69,0.2658241546816296
train,Loss,70,0.2728348741928736
train,Loss,71,0.27056644989384543
train,Loss,72,0.2687792417075899
train,Loss,73,0.26957132418950397
train,Loss,74,0.2662611785862181
train,Loss,75,0.266568308406406
train,Loss,76,0.25366632872157624
train,Loss,77,0.2621364613374074
train,Loss,78,0.26964014801714153
train,Loss,79,0.2592436045408249
train,Loss,80,0.2604396873050266
train,Loss,81,0.25147948165734607
train,Loss,82,0.2511692550447252
train,Loss,83,0.2580795450343026
train,Loss,84,0.26117717954847547
train,Loss,85,0.25645594530635407
train,Loss,86,0.253305098745558
train,Loss,87,0.25310864150524137
train,Loss,88,0.25061848759651184
train,Loss,89,0.2577052523692449
train,Loss,90,0.238773845632871
train,Loss,91,0.2504416839943992
train,Loss,92,0.24914244016011555
train,Loss,93,0.2473457972208659
train,Loss,94,0.25015458001030816
train,Loss,95,0.24853772388564216
train,Loss,96,0.2535622917943531
train,Loss,97,0.25043685535589855
train,Loss,98,0.24885074496269227
train,Loss,99,0.24942746294869317
train,Dice,0,0.2832738217380312
train,Dice,1,0.31265757746166656
train,Dice,2,0.31385401752259995
train,Dice,3,0.32158038483725654
train,Dice,4,0.5954046136803097
train,Dice,5,0.646994239754147
train,Dice,6,0.6468008955319723
train,Dice,7,0.6469462235768636
train,Dice,8,0.6472964194085863
train,Dice,9,0.6470766093995836
train,Dice,10,0.6468494666947259
train,Dice,11,0.64737489355935
train,Dice,12,0.6473365465799967
train,Dice,13,0.6477998786502415
train,Dice,14,0.6465166277355618
train,Dice,15,0.6474287695354886
train,Dice,16,0.6471784936057197
train,Dice,17,0.646343179543813
train,Dice,18,0.6475940412945218
train,Dice,19,0.6475247528817919
train,Dice,20,0.6470426652166579
train,Dice,21,0.6475337942441305
train,Dice,22,0.6473411798477173
train,Dice,23,0.6467942118644714
train,Dice,24,0.6468704011705186
train,Dice,25,0.6477002660433452
train,Dice,26,0.6468228764004178
train,Dice,27,0.6466685268614027
train,Dice,28,0.6475967566172282
train,Dice,29,0.6471452938185798
train,Dice,30,0.6474418467945523
train,Dice,31,0.6471493177943759
train,Dice,32,0.6466186126073201
train,Dice,33,0.6470665838983324
train,Dice,34,0.6471669594446818
train,Dice,35,0.6473616586791144
train,Dice,36,0.6467476699087354
train,Dice,37,0.646836154990726
train,Dice,38,0.6472119940651788
train,Dice,39,0.6471498674816556
train,Dice,40,0.6477983580695258
train,Dice,41,0.6465789755185445
train,Dice,42,0.6473433785968357
train,Dice,43,0.6464792264832391
train,Dice,44,0.647411298751831
train,Dice,45,0.647279421488444
train,Dice,46,0.6471125920613606
train,Dice,47,0.6480806443426345
train,Dice,48,0.6479091644287109
train,Dice,49,0.649184701177809
train,Dice,50,0.6506216380331251
train,Dice,51,0.6535936752955119
train,Dice,52,0.6569475187195672
train,Dice,53,0.6595024890369839
train,Dice,54,0.670379102230072
train,Dice,55,0.6738693594932557
