Phase,Metric,Epoch,Value
train,Loss,0,0.8082255522410074
train,Loss,1,0.6773364358478122
train,Loss,2,0.5974554631445143
train,Loss,3,0.5415815307034386
train,Loss,4,0.49860660632451376
train,Loss,5,0.4628328442573547
train,Loss,6,0.43120794163809884
train,Loss,7,0.403259637620714
train,Loss,8,0.37796288596259225
train,Loss,9,0.3554364025592804
train,Loss,10,0.3357816643185086
train,Loss,11,0.3176990389823914
train,Loss,12,0.29992978307935925
train,Loss,13,0.285337856080797
train,Loss,14,0.27103193832768335
train,Loss,15,0.25700060129165647
train,Loss,16,0.2440512501531177
train,Loss,17,0.23304903739028507
train,Loss,18,0.2228985952006446
train,Loss,19,0.2111261698934767
train,Loss,20,0.20318409601847331
train,Loss,21,0.19364005658361647
train,Loss,22,0.18517842160330877
train,Loss,23,0.17761829892794292
train,Loss,24,0.1706418491072125
train,Loss,25,0.1634821636809243
train,Loss,26,0.1561888678206338
train,Loss,27,0.14845815135373008
train,Loss,28,0.14296608252657783
train,Loss,29,0.13774200710985396
train,Loss,30,0.13690255847242144
train,Loss,31,0.13158514002958935
train,Loss,32,0.12355931980742349
train,Loss,33,0.11751686847872204
train,Loss,34,0.11413544201188618
train,Loss,35,0.11268390516440073
train,Loss,36,0.10758958442343605
train,Loss,37,0.10382384376393425
train,Loss,38,0.1000443547964096
train,Loss,39,0.09617074247863558
train,Loss,40,0.09225159138441086
train,Loss,41,0.09014546506934695
train,Loss,42,0.08770487904548645
train,Loss,43,0.08333252221345902
train,Loss,44,0.0838660220305125
train,Loss,45,0.07883483916521072
train,Loss,46,0.07561739931503932
train,Loss,47,0.07352488405174679
train,Loss,48,0.07109787141283354
train,Loss,49,0.06765076716740927
train,Loss,50,0.06549334699908892
train,Loss,51,0.06369572306672731
train,Loss,52,0.06206192730201615
train,Loss,53,0.06112022060487005
train,Loss,54,0.0593730559779538
train,Loss,55,0.057537981039947936
train,Loss,56,0.05632897209790018
train,Loss,57,0.05594320951236619
train,Loss,58,0.052071003864208855
train,Loss,59,0.050652167283826405
train,Loss,60,0.050013065338134766
train,Loss,61,0.050611533804072274
train,Loss,62,0.04993083228667577
train,Loss,63,0.046189915388822556
train,Loss,64,0.04439840904540486
train,Loss,65,0.04260932910773489
train,Loss,66,0.04148413182960616
train,Loss,67,0.04013592658771409
train,Loss,68,0.039358268554011984
train,Loss,69,0.039170505437586045
train,Loss,70,0.037551994000871974
train,Loss,71,0.036610444055663216
train,Loss,72,0.036172790949543315
train,Loss,73,0.03491339894632498
train,Loss,74,0.03433232944872644
train,Loss,75,0.034055004310276776
train,Loss,76,0.03270237917701403
train,Loss,77,0.03201327357027266
train,Loss,78,0.03061050611237685
train,Loss,79,0.029443889359633126
train,Loss,80,0.02964438899523682
train,Loss,81,0.029272263000408808
train,Loss,82,0.029121090678705108
train,Loss,83,0.028414534156521162
train,Loss,84,0.027252486679289076
train,Loss,85,0.026505217287275527
train,Loss,86,0.02559371367096901
train,Loss,87,0.024285971911417112
train,Loss,88,0.023552213319473797
